date,component_name,uswds,static_content_templates,yellow_ribbon_schools,vre_ch31_eligibility__amp__entitlement,_28_1900_veteran_readiness,virtual_agent,verify_your_enrollment,appointments,travel_pay,apply_to_use_transferred_education_benefits,apply_for_burial_in_a_va_national_cemetery,apply_for_dic__survivors_pension__or_accrued_benefits_online,survivor_and_dependent_benefits_22_5490,static_pages,simple_forms_patterns,form_upload,request_a_presidential_memorial_certificate,_26_4555_application_in_acquiring_specially_adapted_housing_or_special_home_adaptation_grant,submit_a_statement_to_support_a_claim,sign_va_claim_forms_as_an_alternate_signer,submit_an_intent_to_file,request_priority_processing_for_an_existing_claim,request_personal_records,find_a_va_accredited_representative_or_vso,fill_out_your_form_to_appoint_a_va_accredited_representative_or_vso,_40_10007_pre_need_burial_planning_form,view_your_representative,welcome_va_setup_review_information_form,va_profile,dashboard,_21_527ez_pension_benefits_form,pact_act,all_va_offices,my_education_benefits,mhv_secure_messaging,mhv_medications,mhv_medical_records,submit_medical_expenses_to_support_a_pension_or_dic_claim,_1330m_apply_for_a_medallion_in_a_private_cemetery,apply_for_certificate_of_eligibility,foreign_medical_program_cover_sheet,file_a_champva_claim,_10_10d_extended,income_limits,_21p_0969_income_and_asset_statement_form,order_hearing_aid_or_cpap_supplies,_1010ez_health_care_application_form,gi_bill_comparison_tool,fry_dea___va_education_benefits_for_survivors_and_dependents,financial_status_report,_10_10ezr_update_health_benefits_info_form,enrollment_verification,designation_of_certifying_official_s_,conflicting_interests_certification_for_proprietary_schools,_22_10282_ibm_skillsbuild_training_program_intake_application,_22_10215_statement_of_assurance_of_compliance_with_95_percent_enrollment_ratios,_22_10203_education_benefits_form,_22_0994_education_benefits_form,_0839,dispute_your_va_debt,discover_your_benefits,_21_526ez_disability_compensation_claim_form,connect_your_device,view_dependents,_21_0538_dependents_verification,_686c_674_v2,_686c_674,claims_status,travel_claim,check_in,_10_10cg,apply_for_additional_compensation_based_on_inability_to_work,_21_2680_house_bound_status,after_visit_summary,ask_va,sc_testing,hlr_testing,platform_ish_,request_for_higher_level_review,file_a_supplemental_claim,request_a_board_appeal,authenticated_experience_design_patterns,total,_10297,_10275,veteran_id_card_v1,vass,demo__file_for_disability_compensation___conditions,va_online_services_terms_of_use,sign_in_confirm_contact_email,post_9_11_gi_bill_status,order_medical_supplies,_1330m2_apply_for_a_medallion_in_a_private_cemetery,login_page,your_va_home_loan_coe,register_for_the_foreign_medical_program__fmp_,_10_7959c_champva_other_health_insurance_certification_form,_10_10d_application_for_champva_benefits,facility_locator,gi_bill_school_feedback_tool,_35__exemption_of_the_routine_reporting,discharge_wizard,pre_check_in,_21p_530ez_burials_benefits_form,_21_0779_nursing_home_information,authentication_callback,submitted_appeals_view__amp__download,decision_reviews_onramp_tool,accredited_representative_portal,_21a_apply_to_become_a_va_accredited_attorney_or_claims_agent,authorize_va_to_release_your_information_to_a_third_party_source,resources_and_support,representative_form_upload,my_healthevet_on_va_gov,education_letters,_22_1995_education_benefits_form,covid_19_screener,debt_and_bills,apply_for_personalized_career_planning_and_guidance_with_va_form_25_8832,verify_identity,mock_form_minimal_header,application_for_accrued_amounts_due_a_deceased_beneficiary,marital_status_questionnaire__21p_0537_,search,rated_disabilities,new_28_1900_veteran_readiness,letters,view_payments,_21p_530a_interment_allowance,_21_4192_employment_information,resources_for_schools,contact_us,authorize_va_to_disclose_personal_information_to_a_third_party,program_apporval_in_a_foreign_country__va_form_22_0976_,apply_for_specially_adapted_housing_grant,mock_sip_form,employment_questionnaire,sign_in_changes_reminder,my_messages
2025-11-21,va-additional-info,93,2,1,3,1,1,10,7,7,7,9,10,5,10,3,1,1,1,2,1,5,13,1,4,3,17,1,1,12,2,7,1,1,10,1,13,4,3,1,2,2,5,1,1,7,3,20,10,7,24,16,2,2,4,1,2,1,1,2,2,1,19,1,1,2,13,5,3,1,2,6,2,1,1,2,9,5,18,5,11,7,25,441,2,2
2025-11-21,va-button,85,6,1,,,2,8,7,5,9,,,5,16,1,,4,,,,1,,,3,3,9,,,16,2,2,5,,10,35,,3,,3,,1,1,3,2,,1,3,1,,8,7,1,1,1,,1,,,1,5,,3,,4,9,7,1,5,2,2,3,,2,,4,10,1,71,4,9,6,21,414,,1,2,5,1,5,2,1,8,1,3,1,2,2,1,2,1,1,3,1,1,1,5,3,1,2,1
2025-11-21,va-icon,1,62,1,5,,1,6,9,4,3,,,5,8,,,,,,,,,,2,8,4,4,,4,8,,,,8,18,5,11,,,,,,,,,,,37,9,2,5,7,2,,,,1,,,,,2,,1,,,,11,,,,,,1,9,,,35,,,,25,366,,,,,,,,,,,,,,1,,5,,,2,,,,,,,14,4,2,2,5,4,1,1,1,1
2025-11-21,va-alert,194,21,,3,,3,12,13,11,12,1,2,9,13,,,,,3,,2,,,3,3,19,1,1,19,18,16,,,21,16,11,12,2,15,2,,6,5,1,4,16,13,5,12,16,16,8,5,3,1,3,,1,2,3,,18,2,8,8,5,6,12,3,4,7,,2,1,11,3,,87,,3,1,72,752,2,1,3,1,1,6,2,2,7,1,,1,,,1,10,,4,2,1,5,2,1,1,,4,3,,1,3,,3,,,11,2,1,1,7,1,1,4,2,10,5,1,1
2025-11-21,va-telephone,2,7,,3,5,6,6,5,15,2,4,6,2,28,,2,2,2,2,,1,6,,3,7,16,4,,43,6,12,,,10,3,21,12,4,4,7,1,11,4,2,1,6,21,3,8,22,11,3,,,1,,1,,,13,2,23,5,8,13,19,8,17,,1,12,,4,3,10,11,6,109,5,9,9,39,856,,,,5,,4,,7,4,,,2,2,1,,8,,,2,2,12,2,,2,6,3,,3,,,10,,,,70,3,,,,,,4,3,6,9,2,2,1,4
2025-11-21,va-link,2,145,,3,5,,5,48,39,,1,33,,76,,1,1,1,2,,1,10,,,5,5,,1,29,22,26,1,,1,2,10,17,13,1,,5,5,7,14,7,,21,17,,3,8,,10,7,1,15,,,18,1,8,30,1,9,8,16,5,23,,,4,2,2,,1,1,1,51,18,26,6,14,1042,3,3,,1,,1,1,2,,,,2,,4,2,10,,11,7,,18,2,,2,26,14,8,,2,,2,,1,,20,,,,6,,5,5,,,,1,1,12,,1
2025-11-21,va-accordion-item,17,18,,,,3,,,3,,1,13,,,,,,,,14,,,,,6,6,,,4,1,7,1,,1,9,1,5,,1,,,,,5,4,4,,3,,,,,,,,3,,,2,,,15,13,,1,2,,3,,,,,,4,1,1,,7,,6,,2,221,2,2,,,,2,,,,,,,,,,,,5,6,,,,,,4,18,,,,,,,,,,,,,,,,,,2,,,,8,,2
2025-11-21,va-card,6,5,,,,,2,5,4,1,,,2,1,,,,,,,,,,1,4,,,,5,14,,,,3,1,1,12,,,,,,,,2,,3,3,,2,3,,,,,,,,,2,1,1,,1,6,2,,2,1,,2,,,,1,,,11,,,,12,142,,,,1,,,1,,1,,,,,,,,,,,,,,,,5,8,,,,,,,,,2,,,,1,,,1,5,1,,,,,,
2025-11-21,va-process-list,13,1,,,1,,,,3,,1,1,1,,,,1,,,,,,,,1,,,,1,,1,,,1,,5,,1,1,1,,,1,,,,1,,1,2,,,2,2,,2,,,2,,,1,,,1,2,1,1,1,,1,,2,,,1,1,,1,1,2,3,66,2,,,,,,,,,1,,,,,1,,,1,2,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,1,1,,,,1
2025-11-21,va-process-list-item,,1,,,3,,,,7,,4,4,3,,,,3,,,,,,,,3,,,,2,,3,,,3,,13,,3,4,3,,,4,,,,3,,3,6,,,6,6,,6,,,6,,,4,,,4,5,2,1,2,,3,,9,,,3,3,,3,3,7,9,205,6,,,,,,,,,4,,,,,4,,,3,5,,4,,,,,,9,,,2,,,,,,,,,,,,,,,,4,3,,,,4
